Era,CircuitType,mean,std,count
Post-2022,HighSpeed,0.842,0.056,5
Post-2022,Street,0.789,0.074,5
Post-2022,Technical,0.635,0.412,4
Pre-2022,HighSpeed,0.661,0.27,5
Pre-2022,Street,0.802,0.101,5
Pre-2022,Technical,0.656,0.463,5
