year,era,round,race_name,team,driver,teammate,pair,lap_number,lap_time_s,compound,tyre_life,stint,position
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,56.0,96.086,SOFT,13.0,4.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,2.0,99.094,SOFT,2.0,1.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,3.0,98.771,SOFT,3.0,1.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,4.0,98.625,SOFT,4.0,1.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,5.0,98.64,SOFT,5.0,1.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,6.0,98.874,SOFT,6.0,1.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,7.0,99.152,SOFT,7.0,1.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,8.0,99.422,SOFT,8.0,1.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,9.0,99.312,SOFT,9.0,1.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,12.0,97.599,HARD,2.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,13.0,97.363,HARD,3.0,2.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,14.0,97.537,HARD,4.0,2.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,15.0,97.843,HARD,5.0,2.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,16.0,97.902,HARD,6.0,2.0,14.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,17.0,98.911,HARD,7.0,2.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,18.0,98.12,HARD,8.0,2.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,19.0,98.332,HARD,9.0,2.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,20.0,98.185,HARD,10.0,2.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,21.0,99.363,HARD,11.0,2.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,22.0,98.655,HARD,12.0,2.0,16.0
