driver,race,stint,compound,stint_length,avg_lap_time
ALB,Monaco Grand Prix,4.0,MEDIUM,26.0,80.02233333333334
ALB,Qatar Grand Prix,1.0,MEDIUM,34.0,88.47897674418604
ALB,Qatar Grand Prix,2.0,MEDIUM,12.0,88.93918181818182
ALB,Qatar Grand Prix,3.0,HARD,12.0,87.48518181818181
ALB,Qatar Grand Prix,4.0,HARD,13.0,87.13216666666666
ALB,Qatar Grand Prix,4.0,SOFT,19.0,87.00066666666667
ALB,Saudi Arabian Grand Prix,1.0,MEDIUM,16.0,97.2493870967742
ALB,Saudi Arabian Grand Prix,2.0,HARD,40.0,95.50385507246376
ALB,Singapore Grand Prix,1.0,INTERMEDIATE,24.0,124.27694444444445
ALB,Singapore Grand Prix,1.0,MEDIUM,19.0,100.64403703703704
ALB,Singapore Grand Prix,2.0,HARD,22.0,100.88668181818183
ALB,Singapore Grand Prix,3.0,MEDIUM,19.0,99.99582352941177
ALB,Spanish Grand Prix,1.0,MEDIUM,17.0,82.6918125
ALB,Spanish Grand Prix,1.0,SOFT,15.0,85.78099999999999
ALB,Spanish Grand Prix,2.0,HARD,20.0,81.05884210526315
ALB,Spanish Grand Prix,2.0,MEDIUM,13.0,91.12666666666667
ALB,Spanish Grand Prix,2.0,SOFT,24.0,81.40921739130435
ALB,Spanish Grand Prix,3.0,MEDIUM,28.0,79.51640740740741
ALB,Spanish Grand Prix,3.0,SOFT,22.0,85.3813076923077
ALB,Spanish Grand Prix,4.0,MEDIUM,8.0,89.51257142857142
ALB,Spanish Grand Prix,5.0,SOFT,13.0,89.27555555555556
ALB,São Paulo Grand Prix,2.0,MEDIUM,20.0,78.5075
ALB,São Paulo Grand Prix,3.0,MEDIUM,21.0,77.48134999999999
ALB,São Paulo Grand Prix,4.0,MEDIUM,24.0,76.64966666666666
ALB,United States Grand Prix,1.0,MEDIUM,12.0,104.7006875
ALB,United States Grand Prix,2.0,HARD,18.0,103.19294117647058
ALB,United States Grand Prix,2.0,MEDIUM,29.0,102.52508823529412
ALB,United States Grand Prix,3.0,HARD,38.0,102.0979423076923
ALB,United States Grand Prix,3.0,MEDIUM,33.0,101.99088461538462
ALO,Abu Dhabi Grand Prix,1.0,MEDIUM,18.0,91.50316666666667
ALO,Abu Dhabi Grand Prix,2.0,HARD,24.0,90.18361999999999
ALO,Abu Dhabi Grand Prix,3.0,HARD,23.0,88.63814634146343
ALO,Australian Grand Prix,1.0,HARD,38.0,84.53852272727273
ALO,Australian Grand Prix,1.0,MEDIUM,7.0,83.39533333333334
ALO,Australian Grand Prix,2.0,HARD,40.0,82.3484864864865
ALO,Australian Grand Prix,2.0,MEDIUM,24.0,83.32161764705882
ALO,Australian Grand Prix,3.0,HARD,16.0,81.09578571428571
ALO,Australian Grand Prix,3.0,MEDIUM,4.0,84.17833333333334
ALO,Austrian Grand Prix,1.0,HARD,26.0,72.3242
ALO,Austrian Grand Prix,1.0,MEDIUM,13.0,71.64744444444445
ALO,Austrian Grand Prix,2.0,HARD,29.0,70.97057894736842
ALO,Austrian Grand Prix,2.0,MEDIUM,24.0,71.58195454545454
ALO,Austrian Grand Prix,3.0,HARD,33.0,71.49806896551723
ALO,Austrian Grand Prix,3.0,MEDIUM,28.0,70.4795925925926
ALO,Austrian Grand Prix,4.0,MEDIUM,27.0,69.38064864864864
ALO,Austrian Grand Prix,4.0,SOFT,2.0,67.694
ALO,Azerbaijan Grand Prix,1.0,MEDIUM,17.0,109.68396875
ALO,Azerbaijan Grand Prix,2.0,HARD,40.0,107.73721904761904
ALO,Bahrain Grand Prix,1.0,SOFT,17.0,99.69270588235294
ALO,Bahrain Grand Prix,2.0,HARD,25.0,97.65688095238094
ALO,Bahrain Grand Prix,2.0,MEDIUM,13.0,99.95774999999999
ALO,Bahrain Grand Prix,3.0,HARD,23.0,97.1166274509804
ALO,Bahrain Grand Prix,4.0,SOFT,15.0,97.7845
ALO,Belgian Grand Prix,1.0,MEDIUM,12.0,112.71608
ALO,Belgian Grand Prix,2.0,MEDIUM,31.0,111.51394915254238
ALO,Belgian Grand Prix,3.0,HARD,19.0,113.3586111111111
ALO,Belgian Grand Prix,3.0,SOFT,15.0,111.49164285714286
ALO,British Grand Prix,1.0,MEDIUM,32.0,93.81030909090909
ALO,British Grand Prix,2.0,INTERMEDIATE,10.0,103.14255555555556
ALO,British Grand Prix,2.0,MEDIUM,31.0,95.76336666666666
ALO,British Grand Prix,2.0,SOFT,22.0,91.94128571428571
ALO,British Grand Prix,3.0,HARD,5.0,92.55324999999999
ALO,British Grand Prix,3.0,MEDIUM,14.0,90.37169230769231
ALO,British Grand Prix,4.0,SOFT,13.0,92.0675
ALO,Canadian Grand Prix,1.0,INTERMEDIATE,24.0,90.33173913043478
ALO,Canadian Grand Prix,1.0,MEDIUM,27.0,78.75128125
ALO,Canadian Grand Prix,2.0,HARD,28.0,77.7116046511628
ALO,Canadian Grand Prix,2.0,INTERMEDIATE,18.0,87.59628571428571
ALO,Canadian Grand Prix,3.0,HARD,29.0,77.37929787234043
ALO,Canadian Grand Prix,3.0,MEDIUM,21.0,77.5915
ALO,Chinese Grand Prix,1.0,MEDIUM,10.0,102.45511111111111
ALO,Chinese Grand Prix,2.0,HARD,9.0,101.37950000000001
ALO,Chinese Grand Prix,3.0,SOFT,19.0,100.259
ALO,Chinese Grand Prix,4.0,MEDIUM,13.0,99.57233333333333
ALO,Dutch Grand Prix,1.0,MEDIUM,30.0,77.32855172413792
ALO,Dutch Grand Prix,1.0,SOFT,11.0,78.1748
ALO,Dutch Grand Prix,2.0,HARD,40.0,76.291875
ALO,Dutch Grand Prix,2.0,INTERMEDIATE,7.0,84.39916666666666
ALO,Dutch Grand Prix,3.0,SOFT,37.0,76.05157142857142
ALO,Dutch Grand Prix,4.0,SOFT,25.0,74.85313043478261
ALO,Dutch Grand Prix,6.0,INTERMEDIATE,14.0,82.73166666666667
ALO,Emilia Romagna Grand Prix,1.0,INTERMEDIATE,5.0,99.685
ALO,Emilia Romagna Grand Prix,1.0,SOFT,6.0,83.1452
ALO,Emilia Romagna Grand Prix,2.0,HARD,33.0,82.62635483870967
ALO,Emilia Romagna Grand Prix,3.0,MEDIUM,19.0,81.49235294117646
ALO,Emilia Romagna Grand Prix,4.0,SOFT,3.0,81.6965
ALO,French Grand Prix,1.0,MEDIUM,17.0,100.07718750000001
ALO,French Grand Prix,2.0,HARD,35.0,99.22929032258065
ALO,Hungarian Grand Prix,1.0,MEDIUM,22.0,85.62394285714286
ALO,Hungarian Grand Prix,1.0,SOFT,8.0,86.1668
ALO,Hungarian Grand Prix,2.0,HARD,40.0,84.9736
